code,name,parent_code,level,category,is_posting,is_active
1,Activo,,1,Activo,false,true,
11,Disponible,1,2,Activo,false,true,
1105,Caja,11,3,Activo,false,true,
110505,Caja general,1105,4,Activo,true,true,
110510,Cajas menores,1105,4,Activo,true,true,
110515,Moneda extranjera,1105,4,Activo,true,true,
1110,Bancos,11,3,Activo,false,true,
111005,Moneda nacional,1110,4,Activo,true,true,
111010,Moneda extranjera,1110,4,Activo,true,true,
1115,Remesas en tránsito,11,3,Activo,false,true,
111505,Moneda nacional,1115,4,Activo,true,true,
111510,Moneda extranjera,1115,4,Activo,true,true,
1120,Cuentas de ahorro,11,3,Activo,false,true,
112005,Bancos,1120,4,Activo,true,true,
112010,Corporaciones de ahorro y vivienda,1120,4,Activo,true,true,
112015,Organismos cooperativos financieros,1120,4,Activo,true,true,
1125,Fondos,11,3,Activo,false,true,
112505,Rotatorios moneda nacional,1125,4,Activo,true,true,
112510,Rotatorios moneda extranjera,1125,4,Activo,true,true,
112515,Especiales moneda nacional,1125,4,Activo,true,true,
112520,Especiales moneda extranjera,1125,4,Activo,true,true,
112525,De amortización moneda nacional,1125,4,Activo,true,true,
112530,De amortización moneda extranjera,1125,4,Activo,true,true,
12,Inversiones,1,2,Activo,false,true,
1205,Acciones,12,3,Activo,false,true,
120505,"Agricultura, ganadería, caza y silvicultura",1205,4,Activo,true,true,
120510,Pesca,1205,4,Activo,true,true,
120515,Explotación de minas y canteras,1205,4,Activo,true,true,
120520,Industria manufacturera,1205,4,Activo,true,true,
120525,"Suministro de electricidad, gas y agua",1205,4,Activo,true,true,
120530,Construcción,1205,4,Activo,true,true,
120535,Comercio al por mayor y al por menor,1205,4,Activo,true,true,
120540,Hoteles y restaurantes,1205,4,Activo,true,true,
120545,"Transporte, almacenamiento y comunicaciones",1205,4,Activo,true,true,
120550,Actividad financiera,1205,4,Activo,true,true,
120555,"Actividades inmobiliarias, empresariales y de alquiler",1205,4,Activo,true,true,
120560,Enseñanza,1205,4,Activo,true,true,
120565,Servicios sociales y de salud,1205,4,Activo,true,true,
120570,"Otras actividades de servicios comunitarios, sociales y personales",1205,4,Activo,true,true,
120599,Ajustes por inflación,1205,4,Activo,true,true,
1210,Cuotas o partes de interés social,12,3,Activo,false,true,
121005,"Agricultura, ganadería, caza y silvicultura",1210,4,Activo,true,true,
121010,Pesca,1210,4,Activo,true,true,
121015,Explotación de minas y canteras,1210,4,Activo,true,true,
121020,Industria manufacturera,1210,4,Activo,true,true,
121025,"Suministro de electricidad, gas y agua",1210,4,Activo,true,true,
121030,Construcción,1210,4,Activo,true,true,
121035,Comercio al por mayor y al por menor,1210,4,Activo,true,true,
121040,Hoteles y restaurantes,1210,4,Activo,true,true,
121045,"Transporte, almacenamiento y comunicaciones",1210,4,Activo,true,true,
121050,Actividad financiera,1210,4,Activo,true,true,
121055,"Actividades inmobiliarias, empresariales y de alquiler",1210,4,Activo,true,true,
121060,Enseñanza,1210,4,Activo,true,true,
121065,Servicios sociales y de salud,1210,4,Activo,true,true,
121070,"Otras actividades de servicios comunitarios, sociales y personales",1210,4,Activo,true,true,
121099,Ajustes por inflación,1210,4,Activo,true,true,
1215,Bonos,12,3,Activo,false,true,
121505,Bonos públicos moneda nacional,1215,4,Activo,true,true,
121510,Bonos públicos moneda extranjera,1215,4,Activo,true,true,
121515,Bonos ordinarios,1215,4,Activo,true,true,
121520,Bonos convertibles en acciones,1215,4,Activo,true,true,
121595,Otros,1215,4,Activo,true,true,
1220,Cédulas,12,3,Activo,false,true,
122005,Cédulas de capitalización,1220,4,Activo,true,true,
122010,Cédulas hipotecarias,1220,4,Activo,true,true,
122015,Cédulas de inversión,1220,4,Activo,true,true,
122095,Otras,1220,4,Activo,true,true,
1225,Certificados,12,3,Activo,false,true,
122505,Certificados de depósito a término (CDT),1225,4,Activo,true,true,
122510,Certificados de depósito de ahorro,1225,4,Activo,true,true,
122515,Certificados de ahorro de valor constante (CAVC),1225,4,Activo,true,true,
122520,Certificados de cambio,1225,4,Activo,true,true,
122525,Certificados cafeteros valorizables,1225,4,Activo,true,true,
122530,Certificados eléctricos valorizables (CEV),1225,4,Activo,true,true,
122535,Certificados de reembolso tributario (CERT),1225,4,Activo,true,true,
122540,Certificados de desarrollo turístico,1225,4,Activo,true,true,
122545,Certificados de inversión forestal (CIF),1225,4,Activo,true,true,
122595,Otros,1225,4,Activo,true,true,
1230,Papeles comerciales,12,3,Activo,false,true,
123005,Empresas comerciales,1230,4,Activo,true,true,
123010,Empresas industriales,1230,4,Activo,true,true,
123015,Empresas de servicios,1230,4,Activo,true,true,
1235,Títulos,12,3,Activo,false,true,
123505,Títulos de desarrollo agropecuario,1235,4,Activo,true,true,
123510,Títulos canjeables por certificados de cambio,1235,4,Activo,true,true,
123515,Títulos de tesorería (TES),1235,4,Activo,true,true,
123520,Títulos de participación,1235,4,Activo,true,true,
123525,Títulos de crédito de fomento,1235,4,Activo,true,true,
123530,Títulos financieros agroindustriales (TFA),1235,4,Activo,true,true,
123535,Títulos de ahorro cafetero (TAC),1235,4,Activo,true,true,
123540,Títulos de ahorro nacional (TAN),1235,4,Activo,true,true,
123545,Títulos energéticos de rentabilidad creciente (TER),1235,4,Activo,true,true,
123550,Títulos de ahorro educativo (TAE),1235,4,Activo,true,true,
123555,Títulos financieros industriales y comerciales,1235,4,Activo,true,true,
123560,Tesoros,1235,4,Activo,true,true,
123565,Títulos de devolución de impuestos nacionales (TIDIS),1235,4,Activo,true,true,
123570,Títulos inmobiliarios,1235,4,Activo,true,true,
123595,Otros,1235,4,Activo,true,true,
1240,Aceptaciones bancarias o financieras,12,3,Activo,false,true,
124005,Bancos comerciales,1240,4,Activo,true,true,
124010,Compañías de financiamiento comercial,1240,4,Activo,true,true,
124015,Corporaciones financieras,1240,4,Activo,true,true,
124095,Otras,1240,4,Activo,true,true,
1245,Derechos fiduciarios,12,3,Activo,false,true,
124505,Fideicomisos de inversión moneda nacional,1245,4,Activo,true,true,
124510,Fideicomisos de inversión moneda extranjera,1245,4,Activo,true,true,
1250,Derechos de recompra de inversiones negociadas (repos),12,3,Activo,false,true,
125005,Acciones,1250,4,Activo,true,true,
125010,Cuotas o partes de interés social,1250,4,Activo,true,true,
125015,Bonos,1250,4,Activo,true,true,
125020,Cédulas,1250,4,Activo,true,true,
125025,Certificados,1250,4,Activo,true,true,
125030,Papeles comerciales,1250,4,Activo,true,true,
125035,Títulos,1250,4,Activo,true,true,
125040,Aceptaciones bancarias o financieras,1250,4,Activo,true,true,
125095,Otros,1250,4,Activo,true,true,
125099,Ajustes por inflación,1250,4,Activo,true,true,
1255,Obligatorias,12,3,Activo,false,true,
125505,Bonos de financiamiento especial,1255,4,Activo,true,true,
125510,Bonos de financiamiento presupuestal,1255,4,Activo,true,true,
125515,Bonos para desarrollo social y seguridad interna (BDSI),1255,4,Activo,true,true,
125595,Otras,1255,4,Activo,true,true,
1260,Cuentas en participación,12,3,Activo,false,true,
126099,Ajustes por inflación,1260,4,Activo,true,true,
1295,Otras inversiones,12,3,Activo,false,true,
129505,Aportes en cooperativas,1295,4,Activo,true,true,
129510,Derechos en clubes sociales,1295,4,Activo,true,true,
129515,Acciones o derechos en clubes deportivos,1295,4,Activo,true,true,
129520,Bonos en colegios,1295,4,Activo,true,true,
129595,Diversas,1295,4,Activo,true,true,
129599,Ajustes por inflación,1295,4,Activo,true,true,
1299,Provisiones,12,3,Activo,false,true,
129905,Acciones,1299,4,Activo,true,true,
129910,Cuotas o partes de interés social,1299,4,Activo,true,true,
129915,Bonos,1299,4,Activo,true,true,
129920,Cédulas,1299,4,Activo,true,true,
129925,Certificados,1299,4,Activo,true,true,
129930,Papeles comerciales,1299,4,Activo,true,true,
129935,Títulos,1299,4,Activo,true,true,
129940,Aceptaciones bancarias o financieras,1299,4,Activo,true,true,
129945,Derechos fiduciarios,1299,4,Activo,true,true,
129950,Derechos de recompra de inversiones negociadas,1299,4,Activo,true,true,
129955,Obligatorias,1299,4,Activo,true,true,
129960,Cuentas en participación,1299,4,Activo,true,true,
129995,Otras inversiones,1299,4,Activo,true,true,
13,Deudores,1,2,Activo,false,true,
1305,Clientes,13,3,Activo,false,true,
130505,Nacionales,1305,4,Activo,true,true,
130510,Del exterior,1305,4,Activo,true,true,
130515,Deudores del sistema,1305,4,Activo,true,true,
1310,Cuentas corrientes comerciales,13,3,Activo,false,true,
131005,Casa matriz,1310,4,Activo,true,true,
131010,Compañías vinculadas,1310,4,Activo,true,true,
131015,Accionistas o socios,1310,4,Activo,true,true,
131020,Particulares,1310,4,Activo,true,true,
131095,Otras,1310,4,Activo,true,true,
1315,Cuentas por cobrar a casa matriz,13,3,Activo,false,true,
131505,Ventas,1315,4,Activo,true,true,
131510,Pagos a nombre de casa matriz,1315,4,Activo,true,true,
131515,Valores recibidos por casa matriz,1315,4,Activo,true,true,
131520,Préstamos,1315,4,Activo,true,true,
1320,Cuentas por cobrar a vinculados económicos,13,3,Activo,false,true,
132005,Filiales,1320,4,Activo,true,true,
132010,Subsidiarias,1320,4,Activo,true,true,
132015,Sucursales,1320,4,Activo,true,true,
1323,Cuentas por cobrar a directores,13,3,Activo,true,true,
1325,Cuentas por cobrar a socios y accionistas,13,3,Activo,false,true,
132505,A socios,1325,4,Activo,true,true,
132510,A accionistas,1325,4,Activo,true,true,
1328,Aportes por cobrar,13,3,Activo,true,true,
1330,Anticipos y avances,13,3,Activo,false,true,
133005,A proveedores,1330,4,Activo,true,true,
133010,A contratistas,1330,4,Activo,true,true,
133015,A trabajadores,1330,4,Activo,true,true,
133020,A agentes,1330,4,Activo,true,true,
133025,A concesionarios,1330,4,Activo,true,true,
133030,De adjudicaciones,1330,4,Activo,true,true,
133095,Otros,1330,4,Activo,true,true,
133099,Ajustes por inflación,1330,4,Activo,true,true,
1332,Cuentas de operación conjunta,13,3,Activo,true,true,
1335,Depósitos,13,3,Activo,false,true,
133505,Para importaciones,1335,4,Activo,true,true,
133510,Para servicios,1335,4,Activo,true,true,
133515,Para contratos,1335,4,Activo,true,true,
133520,Para responsabilidades,1335,4,Activo,true,true,
133525,Para juicios ejecutivos,1335,4,Activo,true,true,
133530,"Para adquisición de acciones, cuotas o derechos sociales",1335,4,Activo,true,true,
133535,En garantía,1335,4,Activo,true,true,
133595,Otros,1335,4,Activo,true,true,
1340,Promesas de compra venta,13,3,Activo,false,true,
134005,De bienes raíces,1340,4,Activo,true,true,
134010,De maquinaria y equipo,1340,4,Activo,true,true,
134015,De flota y equipo de transporte,1340,4,Activo,true,true,
134020,De flota y equipo aéreo,1340,4,Activo,true,true,
134025,De flota y equipo férreo,1340,4,Activo,true,true,
134030,De flota y equipo fluvial y/o marítimo,1340,4,Activo,true,true,
134035,De semovientes,1340,4,Activo,true,true,
134095,De otros bienes,1340,4,Activo,true,true,
1345,Ingresos por cobrar,13,3,Activo,false,true,
134505,Dividendos y/o participaciones,1345,4,Activo,true,true,
134510,Intereses,1345,4,Activo,true,true,
134515,Comisiones,1345,4,Activo,true,true,
134520,Honorarios,1345,4,Activo,true,true,
134525,Servicios,1345,4,Activo,true,true,
134530,Arrendamientos,1345,4,Activo,true,true,
134535,CERT por cobrar,1345,4,Activo,true,true,
134595,Otros,1345,4,Activo,true,true,
1350,Retención sobre contratos,13,3,Activo,false,true,
135005,De construcción,1350,4,Activo,true,true,
135010,De prestación de servicios,1350,4,Activo,true,true,
135095,Otros,1350,4,Activo,true,true,
1355,Anticipo de impuestos y contribuciones o saldos a favor,13,3,Activo,false,true,
135505,Anticipo de impuestos de renta y complementarios,1355,4,Activo,true,true,
135510,Anticipo de impuestos de industria y comercio,1355,4,Activo,true,true,
135515,Retención en la fuente,1355,4,Activo,true,true,
135517,Impuesto a las ventas retenido,1355,4,Activo,true,true,
135518,Impuesto de industria y comercio retenido,1355,4,Activo,true,true,
135520,Sobrantes en liquidación privada de impuestos,1355,4,Activo,true,true,
135525,Contribuciones,1355,4,Activo,true,true,
135530,Impuestos descontables,1355,4,Activo,true,true,
135595,Otros,1355,4,Activo,true,true,
1360,Reclamaciones,13,3,Activo,false,true,
136005,A compañías aseguradoras,1360,4,Activo,true,true,
136010,A transportadores,1360,4,Activo,true,true,
136015,Por tiquetes aéreos,1360,4,Activo,true,true,
136095,Otras,1360,4,Activo,true,true,
1365,Cuentas por cobrar a trabajadores,13,3,Activo,false,true,
136505,Vivienda,1365,4,Activo,true,true,
136510,Vehículos,1365,4,Activo,true,true,
136515,Educación,1365,4,Activo,true,true,
136520,"Médicos, odontológicos y similares",1365,4,Activo,true,true,
136525,Calamidad doméstica,1365,4,Activo,true,true,
136530,Responsabilidades,1365,4,Activo,true,true,
136595,Otros,1365,4,Activo,true,true,
1370,Préstamos a particulares,13,3,Activo,false,true,
137005,Con garantía real,1370,4,Activo,true,true,
137010,Con garantía personal,1370,4,Activo,true,true,
1380,Deudores varios,13,3,Activo,false,true,
138005,Depositarios,1380,4,Activo,true,true,
138010,Comisionistas de bolsas,1380,4,Activo,true,true,
138015,Fondo de inversión,1380,4,Activo,true,true,
138020,Cuentas por cobrar de terceros,1380,4,Activo,true,true,
138025,Pagos por cuenta de terceros,1380,4,Activo,true,true,
138030,Fondos de inversión social,1380,4,Activo,true,true,
138095,Otros,1380,4,Activo,true,true,
1385,Derechos de recompra de cartera negociada,13,3,Activo,true,true,
1390,Deudas de difícil cobro,13,3,Activo,true,true,
1399,Provisiones,13,3,Activo,false,true,
139905,Clientes,1399,4,Activo,true,true,
139910,Cuentas corrientes comerciales,1399,4,Activo,true,true,
139915,Cuentas por cobrar a casa matriz,1399,4,Activo,true,true,
139920,Cuentas por cobrar a vinculados económicos,1399,4,Activo,true,true,
139925,Cuentas por cobrar a socios y accionistas,1399,4,Activo,true,true,
139930,Anticipos y avances,1399,4,Activo,true,true,
139932,Cuentas de operación conjunta,1399,4,Activo,true,true,
139935,Depósitos,1399,4,Activo,true,true,
139940,Promesas de compraventa,1399,4,Activo,true,true,
139945,Ingresos por cobrar,1399,4,Activo,true,true,
139950,Retención sobre contratos,1399,4,Activo,true,true,
139955,Reclamaciones,1399,4,Activo,true,true,
139960,Cuentas por cobrar a trabajadores,1399,4,Activo,true,true,
139965,Préstamos a particulares,1399,4,Activo,true,true,
139975,Deudores varios,1399,4,Activo,true,true,
139980,Derechos de recompra de cartera negociada,1399,4,Activo,true,true,
14,Inventarios,1,2,Activo,false,true,
1405,Materias primas,14,3,Activo,false,true,
140599,Ajustes por inflación,1405,4,Activo,true,true,
1410,Productos en proceso,14,3,Activo,false,true,
141099,Ajustes por inflación,1410,4,Activo,true,true,
1415,Obras de construcción en curso,14,3,Activo,false,true,
141599,Ajustes por inflación,1415,4,Activo,true,true,
1417,Obras de urbanismo,14,3,Activo,false,true,
141799,Ajustes por inflación,1417,4,Activo,true,true,
1420,Contratos en ejecución,14,3,Activo,false,true,
142099,Ajustes por inflación,1420,4,Activo,true,true,
1425,Cultivos en desarrollo,14,3,Activo,false,true,
142599,Ajustes por inflación,1425,4,Activo,true,true,
1428,Plantaciones agrícolas,14,3,Activo,false,true,
142899,Ajustes por inflación,1428,4,Activo,true,true,
1430,Productos terminados,14,3,Activo,false,true,
143005,Productos manufacturados,1430,4,Activo,true,true,
143010,Productos extraídos y/o procesados,1430,4,Activo,true,true,
143015,Productos agrícolas y forestales,1430,4,Activo,true,true,
143020,Subproductos,1430,4,Activo,true,true,
143025,Productos de pesca,1430,4,Activo,true,true,
143099,Ajustes por inflación,1430,4,Activo,true,true,
1435,Mercancías no fabricadas por la empresa,14,3,Activo,false,true,
143599,Ajustes por inflación,1435,4,Activo,true,true,
1440,Bienes raíces para la venta,14,3,Activo,false,true,
144099,Ajustes por inflación,1440,4,Activo,true,true,
1445,Semovientes,14,3,Activo,false,true,
144599,Ajustes por inflación,1445,4,Activo,true,true,
1450,Terrenos,14,3,Activo,false,true,
145005,Por urbanizar,1450,4,Activo,true,true,
145010,Urbanizados por construir,1450,4,Activo,true,true,
145099,Ajustes por inflación,1450,4,Activo,true,true,
1455,"Materiales, repuestos y accesorios",14,3,Activo,false,true,
145599,Ajustes por inflación,1455,4,Activo,true,true,
1460,Envases y empaques,14,3,Activo,false,true,
146099,Ajustes por inflación,1460,4,Activo,true,true,
1465,Inventarios en tránsito,14,3,Activo,false,true,
146599,Ajustes por inflación,1465,4,Activo,true,true,
1499,Provisiones,14,3,Activo,false,true,
149905,Para obsolescencia,1499,4,Activo,true,true,
149910,Para diferencia de inventario físico,1499,4,Activo,true,true,
149915,Para pérdidas de inventarios,1499,4,Activo,true,true,
149920,Lifo,1499,4,Activo,true,true,
15,"Propiedades, planta y equipo",1,2,Activo,false,true,
1504,Terrenos,15,3,Activo,false,true,
150405,Urbanos,1504,4,Activo,true,true,
150410,Rurales,1504,4,Activo,true,true,
150499,Ajustes por inflación,1504,4,Activo,true,true,
1506,Materiales proyectos petroleros,15,3,Activo,false,true,
150605,Tuberías y equipo,1506,4,Activo,true,true,
150610,Costos de importación materiales,1506,4,Activo,true,true,
150615,Proyectos de construcción,1506,4,Activo,true,true,
150699,Ajustes por inflación,1506,4,Activo,true,true,
1508,Construcciones en curso,15,3,Activo,false,true,
150805,Construcciones y edificaciones,1508,4,Activo,true,true,
150810,"Acueductos, plantas y redes",1508,4,Activo,true,true,
150815,Vías de comunicación,1508,4,Activo,true,true,
150820,Pozos artesianos,1508,4,Activo,true,true,
150825,Proyectos de exploración,1508,4,Activo,true,true,
150830,Proyectos de desarrollo,1508,4,Activo,true,true,
150899,Ajustes por inflación,1508,4,Activo,true,true,
1512,Maquinaria y equipos en montaje,15,3,Activo,false,true,
151205,Maquinaria y equipo,1512,4,Activo,true,true,
151210,Equipo de oficina,1512,4,Activo,true,true,
151215,Equipo de computación y comunicación,1512,4,Activo,true,true,
151220,Equipo médico-científico,1512,4,Activo,true,true,
151225,Equipo de hoteles y restaurantes,1512,4,Activo,true,true,
151230,Flota y equipo de transporte,1512,4,Activo,true,true,
151235,Flota y equipo fluvial y/o marítimo,1512,4,Activo,true,true,
