code,name,department_code,description
05001,Medellín,05,Medellín
05002,Abejorral,05,Abejorral
05004,Abriaquí,05,Abriaquí
05021,Alejandría,05,Alejandría
05030,Amagá,05,Amagá
05031,Amalfi,05,Amalfi
05034,Andes,05,Andes
05036,Angelópolis,05,Angelópolis
05038,Angostura,05,Angostura
05040,Anorí,05,Anorí
05042,Santa Fé De Antioquia,05,Santa Fé De Antioquia
05044,Anzá,05,Anzá
05045,Apartadó,05,Apartadó
05051,Arboletes,05,Arboletes
05055,Argelia,05,Argelia
05059,Armenia,05,Armenia
05079,Barbosa,05,Barbosa
05086,Belmira,05,Belmira
05088,Bello,05,Bello
05091,Betania,05,Betania
05093,Betulia,05,Betulia
05101,Ciudad Bolívar,05,Ciudad Bolívar
05107,Briceño,05,Briceño
05113,Buriticá,05,Buriticá
05120,Cáceres,05,Cáceres
05125,Caicedo,05,Caicedo
05129,Caldas,05,Caldas
05134,Campamento,05,Campamento
05138,Cañasgordas,05,Cañasgordas
05142,Caracolí,05,Caracolí
05145,Caramanta,05,Caramanta
05147,Carepa,05,Carepa
05148,El Carmen De Viboral,05,El Carmen De Viboral
05150,Carolina,05,Carolina
05154,Caucasia,05,Caucasia
05172,Chigorodó,05,Chigorodó
05190,Cisneros,05,Cisneros
05197,Cocorná,05,Cocorná
05206,Concepción,05,Concepción
05209,Concordia,05,Concordia
05212,Copacabana,05,Copacabana
05234,Dabeiba,05,Dabeiba
05237,Donmatías,05,Donmatías
05240,Ebéjico,05,Ebéjico
05250,El Bagre,05,El Bagre
05264,Entrerríos,05,Entrerríos
05266,Envigado,05,Envigado
05282,Fredonia,05,Fredonia
05284,Frontino,05,Frontino
05306,Giraldo,05,Giraldo
05308,Girardota,05,Girardota
05310,Gómez Plata,05,Gómez Plata
05313,Granada,05,Granada
05315,Guadalupe,05,Guadalupe
05318,Guarne,05,Guarne
05321,Guatapé,05,Guatapé
05347,Heliconia,05,Heliconia
05353,Hispania,05,Hispania
05360,Itagüí,05,Itagüí
05361,Ituango,05,Ituango
05364,Jardín,05,Jardín
05368,Jericó,05,Jericó
05376,La Ceja,05,La Ceja
05380,La Estrella,05,La Estrella
05390,La Pintada,05,La Pintada
05400,La Unión,05,La Unión
05411,Liborina,05,Liborina
05425,Maceo,05,Maceo
05440,Marinilla,05,Marinilla
05467,Montebello,05,Montebello
05475,Murindó,05,Murindó
05480,Mutatá,05,Mutatá
05483,Nariño,05,Nariño
05490,Necoclí,05,Necoclí
05495,Nechí,05,Nechí
05501,Olaya,05,Olaya
05541,Peñol,05,Peñol
05543,Peque,05,Peque
05576,Pueblorrico,05,Pueblorrico
05579,Puerto Berrío,05,Puerto Berrío
05585,Puerto Nare,05,Puerto Nare
05591,Puerto Triunfo,05,Puerto Triunfo
05604,Remedios,05,Remedios
05607,Retiro,05,Retiro
05615,Rionegro,05,Rionegro
05628,Sabanalarga,05,Sabanalarga
05631,Sabaneta,05,Sabaneta
05642,Salgar,05,Salgar
05647,San Andrés De Cuerquía,05,San Andrés De Cuerquía
05649,San Carlos,05,San Carlos
05652,San Francisco,05,San Francisco
05656,San Jerónimo,05,San Jerónimo
05658,San José De La Montaña,05,San José De La Montaña
05659,San Juan De Urabá,05,San Juan De Urabá
05660,San Luis,05,San Luis
05664,San Pedro De Los Milagros,05,San Pedro De Los Milagros
05665,San Pedro De Urabá,05,San Pedro De Urabá
05667,San Rafael,05,San Rafael
05670,San Roque,05,San Roque
05674,San Vicente Ferrer,05,San Vicente Ferrer
05679,Santa Bárbara,05,Santa Bárbara
05686,Santa Rosa De Osos,05,Santa Rosa De Osos
05690,Santo Domingo,05,Santo Domingo
05697,El Santuario,05,El Santuario
05736,Segovia,05,Segovia
05756,Sonsón,05,Sonsón
05761,Sopetrán,05,Sopetrán
05789,Támesis,05,Támesis
05790,Tarazá,05,Tarazá
05792,Tarso,05,Tarso
05809,Titiribí,05,Titiribí
05819,Toledo,05,Toledo
05837,Turbo,05,Turbo
05842,Uramita,05,Uramita
05847,Urrao,05,Urrao
05854,Valdivia,05,Valdivia
05856,Valparaíso,05,Valparaíso
05858,Vegachí,05,Vegachí
05861,Venecia,05,Venecia
