code,name,description
05,Antioquia,Departamento de Antioquia
08,Atlántico,Departamento del Atlántico
11,Bogotá D.C.,Distrito Capital de Bogotá
13,Bolívar,Departamento de Bolívar
15,Boyacá,Departamento de Boyacá
17,Caldas,Departamento de Caldas
18,Caquetá,Departamento del Caquetá
19,Cauca,Departamento del Cauca
20,Cesar,Departamento del Cesar
23,Córdoba,Departamento de Córdoba
25,Cundinamarca,Departamento de Cundinamarca
27,Chocó,Departamento del Chocó
41,Huila,Departamento del Huila
44,La Guajira,Departamento de La Guajira
47,Magdalena,Departamento del Magdalena
50,Meta,Departamento del Meta
52,Nariño,Departamento de Nariño
54,Norte de Santander,Departamento de Norte de Santander
63,Quindío,Departamento del Quindío
66,Risaralda,Departamento de Risaralda
68,Santander,Departamento de Santander
70,Sucre,Departamento de Sucre
73,Tolima,Departamento del Tolima
76,Valle del Cauca,Departamento del Valle del Cauca
81,Arauca,Departamento de Arauca
85,Casanare,Departamento de Casanare
86,Putumayo,Departamento del Putumayo
88,San Andrés y Providencia,Departamento Archipiélago de San Andrés y Providencia
91,Amazonas,Departamento del Amazonas
94,Guainía,Departamento del Guainía
95,Guaviare,Departamento del Guaviare
97,Vaupés,Departamento del Vaupés
99,Vichada,Departamento del Vichada
