code,name,description
10,Grupo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
11,Equipar,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
13,Ración,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
14,Disparo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
15,Palo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
16,Tambor de ciento quince kg,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
17,Tambor de cien libras,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
18,Tambor de cincuenta y cinco galones (US),Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
19,Camión cisterna,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1B,Recuento de coches,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1C,Recuento de locomotoras,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1D,Recuento de cabos,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1E,Carro vacio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1F,Millas de tren,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1G,Uso de combustible galón (US),Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1H,Milla del caboose,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1I,Tipo de interés fijo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1J,Tonelada milla,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1K,Milla locomotora,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1L,Recuento total de coches,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1M,Milla de coche total,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
1X,Cuarto de milla,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
20,Contenedor de veinte pies,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
21,Contenedor de cuarenta pies,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
22,Decilitro por gramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
23,Gramo por centímetro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
24,Libra teórica,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
25,Gramo por centímetro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
26,Tonelada real,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
27,Tonelada teórica,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
28,Kilogramo por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
29,Libra por mil pies cuadrados,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2B,Radianes por segundo al cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2C,Röntgen,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2I,Unidad térmica británica por hora.,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2J,Centímetro cúbico por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2K,Pie cúbico por hora,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2L,Pie cúbico por minuto,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2M,Centímetro por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2N,Decibel,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2P,Kilobyte,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2Q,Kilobecquerel,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2R,Kilocurie,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2U,Megagramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2V,Megagramo por hora,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2W,Compartimiento,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2X,Metro por minuto,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2Y,Milliröntgen,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
2Z,Milivoltios,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
30,Día de potencia del caballo por tonelada métrica seca al aire.,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
31,Coger peso,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
32,Kilogramo por aire seco tonelada métrica,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
33,Kilopascales metros cuadrados por gramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
34,Kilopascales por milímetro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
35,Mililitros por centímetro cuadrado segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
36,Pies cúbicos por minuto por pie cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
37,Onza por pie cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
38,"Onzas por pie cuadrado por 0,01 pulgadas",Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
3B,Megajulio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
3C,Manmonth,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
