code,name,description
01,IVA,Impuesto al Valor Agregado
02,IC,Impuesto al Consumo
03,ICA,Impuesto de Industria y Comercio
04,INC,Impuesto Nacional al Consumo
05,ReteIVA,Retención en la fuente por IVA
06,ReteFuente,Retención en la fuente por renta
07,ReteICA,Retención en la fuente por ICA
08,ReteCREE,"Retención en la fuente por CREE (impuesto ya derogado, código vigente por compatibilidad histórica)"
20,FtoHorticultura,Fondo de Fomento Hortifrutícola
21,Timbre,Impuesto de Timbre Nacional
22,Bolsas,Impuesto Nacional al Consumo de Bolsas Plásticas
23,INCarbono,Impuesto Nacional al Carbono
24,INCombustibles,Impuesto Nacional a los Combustibles
25,Sobretasa Combustibles,Sobretasa al ACPM y la Gasolina Motor
26,Sordicom,"Confirmado válido en la lista oficial de tributos (Caja de Herramientas DIAN, TipoImpuesto-2.1.gc) — sin descripción larga verificada en este repositorio"
ZZ,No aplica,No aplica impuesto
