code,name,description
94,Unidad de servicio,"Código UN/ECE Rec. 20 confirmado real contra la DIAN (StatusCode 00, ver cofacture/soap/realsend_test.go) — no se tiene la descripción oficial completa en este repositorio, solo que es válido"
NIU,Unidad,Unidad de medida genérica
KGM,Kilogramo,Unidad de masa
LTR,Litro,Unidad de volumen
MTR,Metro,Unidad de longitud
M2,Metro Cuadrado,Unidad de área
M3,Metro Cúbico,Unidad de volumen
HUR,Hora,Unidad de tiempo
DAY,Día,Unidad de tiempo
MON,Mes,Unidad de tiempo
ANN,Año,Unidad de tiempo
